"Izdatki gospodinjstev za koncno potro?njo po vrsti proizvodov in namenu, Slovenija, letno",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSAKCIJE,MERITVE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..Vzdr?evanje in popravilo stanovanja,Stalne cene predhodnega leta (mio EUR),...,10.1,12.0,13.1,14.0,16.7,16.5,18.3,20.2,22.4,41.7,44.8,49.7,56.8,66.9,60.8,63.1,63.5,64.2,69.8,73.3,75.9,79.0,85.8,...
..Vzdr?evanje in popravilo stanovanja,"Stalne cene, referencno leto 2010 (mio EUR)",22.6,22.1,23.8,24.5,25.1,27.9,27.1,27.9,29.3,31.1,55.2,55.4,60.0,64.3,70.2,61.0,63.1,62.4,60.7,65.2,67.2,69.0,71.5,76.9,...
..Vzdr?evanje in popravilo stanovanja,Letna sprememba obsega (%),...,-2.1,7.5,3.1,2.5,11.1,-2.9,2.9,5.0,6.2,77.7,0.3,8.3,7.2,9.2,-13.2,3.5,-1.1,-2.8,7.4,3.1,2.7,3.6,7.6,...
..Oskrba z vodo in razne storitve v zvezi s stanovanjem,Tekoce cene (mio EUR),81.9,95.9,114.1,128.1,139.7,159.4,184.2,210.6,232.6,255.0,271.3,291.1,327.1,353.8,369.1,419.9,420.2,451.8,477.7,490.2,494.2,510.7,530.2,559.3,...
..Oskrba z vodo in razne storitve v zvezi s stanovanjem,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.7,1.8,2.0,1.9,2.1,2.2,2.3,2.2,2.2,2.2,2.2,-
..Oskrba z vodo in razne storitve v zvezi s stanovanjem,Stalne cene predhodnega leta (mio EUR),...,81.8,102.6,111.0,128.1,149.1,158.6,170.5,212.9,235.3,260.3,291.0,325.8,351.7,358.9,376.7,415.3,450.7,446.9,467.8,485.6,502.5,506.3,551.1,...
..Oskrba z vodo in razne storitve v zvezi s stanovanjem,"Stalne cene, referencno leto 2010 (mio EUR)",294.9,294.4,314.7,306.1,306.2,326.8,325.2,301.0,304.2,307.7,314.1,337.0,377.2,405.5,411.4,419.9,415.3,445.5,440.7,431.5,427.5,434.7,430.9,447.8,...
..Oskrba z vodo in razne storitve v zvezi s stanovanjem,Letna sprememba obsega (%),...,-0.2,6.9,-2.7,0.0,6.7,-0.5,-7.4,1.1,1.1,2.1,7.3,11.9,7.5,1.5,2.0,-1.1,7.3,-1.1,-2.1,-0.9,1.7,-0.9,3.9,...
"..Elektrika, plin in druga goriva",Tekoce cene (mio EUR),282.4,337.3,392.0,429.9,507.5,573.7,634.8,660.2,702.9,776.4,870.9,919.5,956.3,1126.0,1139.2,1344.2,1432.5,1463.8,1384.1,1314.4,1257.2,1260.8,1273.7,1329.8,...
"..Elektrika, plin in druga goriva",Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),4.4,4.6,4.7,4.8,5.0,5.3,5.2,5.0,4.9,5.1,5.4,5.5,5.1,5.6,5.5,6.3,6.6,6.7,6.5,6.1,5.7,5.5,5.4,5.3,-
